seman@mediagtw:~$ # Terminál 1 na mediagtw — RTP traffic k/od RO Asterisk
sudo tcpdump -i eth0 -n "udp and host 10.33.0.55 and portrange 10000-20000"
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
14:27:57.418929 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.438923 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.459109 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.478907 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.499100 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.518877 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.539165 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.559204 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.579179 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.599304 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.619673 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.639287 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.659246 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.679289 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.699268 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.719304 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.739299 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.759252 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.779007 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.799095 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.818994 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.839075 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.859119 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.879087 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.899145 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.919154 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.939284 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.959126 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.979301 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:57.999295 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.019292 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.039095 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.059182 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.079269 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.099285 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.119184 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.139307 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.159290 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.179270 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.199115 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.219226 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.239433 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.259246 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.279109 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.299244 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.319225 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.339291 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.359231 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.379179 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.399351 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.419217 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.439226 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.459085 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.479197 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.499243 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.519137 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.539116 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.558866 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.579147 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.599105 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.619299 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.639121 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.659269 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.679166 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.699126 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.719198 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.739175 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.759224 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.779302 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.798977 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.819162 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.839282 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.859304 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.879094 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.899082 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.919168 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.939293 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.959291 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.979308 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:58.999544 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.019124 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.039326 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.067232 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.079433 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.099347 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.119307 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.139335 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.159802 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.179374 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.199377 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.219372 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.239384 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.259368 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.279254 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.299204 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.319259 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.339366 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.359425 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.379419 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.399292 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.419101 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.439281 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.459671 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.479233 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.499383 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.519229 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.539372 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.559172 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.579315 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.598900 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.619176 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.639400 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.659423 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.668729 IP 10.1.2.112.13507 > 10.33.0.55.19723: UDP, length 76
14:27:59.679246 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.699445 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.719231 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.739201 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.759438 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.779420 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.799436 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.819390 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.839248 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.859441 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.879408 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.899252 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.919178 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.939208 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.959180 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.979312 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:27:59.999220 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.019280 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.039370 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.059218 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.079227 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.099248 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.118946 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.139216 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.159277 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.179232 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.199248 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.219294 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.239387 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.259321 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
14:28:00.278948 IP 10.1.2.112.13506 > 10.33.0.55.19722: UDP, length 172
